Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	0.744539830	2.733524804	0.0	24000.0
2	Waveform 1	1	3.467428350	5.488322174	0.0	24000.0
3	Waveform 1	1	5.626593857	7.626215114	0.0	24000.0
4	Waveform 1	1	10.410029261	12.526649634	0.0	24000.0
5	Waveform 1	1	12.856374416	14.951722223	0.0	24000.0
6	Waveform 1	1	15.111266472	17.047070030	0.0	24000.0
7	Waveform 1	1	17.887336409	20.184773598	0.0	24000.0
8	Waveform 1	1	20.998691194	23.072766435	0.0	24000.0
9	Waveform 1	1	26.401923102	28.358999227	0.0	24000.0
10	Waveform 1	1	28.422816926	30.464983317	0.0	24000.0
11	Waveform 1	1	30.972526515	33.067874322	0.0	24000.0
12	Waveform 1	1	39.144289281	41.356636204	0.0	24000.0
13	Waveform 1	1	41.409817620	43.388166311	0.0	24000.0
14	Waveform 1	1	44.005070742	46.057873415	0.0	24000.0
