ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
591054881,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Leite,6/8/2023,2023,6,8,711,Kenya,KE-110,Nairobi,,Karura Forest,-1.2381315,36.8354416,,Song,Used,,,,,Mix Pre 3,Sennheiser ME67,,,S140860970,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
591043571,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Leite,6/5/2023,2023,6,5,649,Kenya,KE-800,Western,,Kakamega Forest NR--Udo's Camp,0.353234,34.8638034,,,Used,,,,,Mix Pre 3,Sennheiser ME67,,,S140585332,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
591043561,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Leite,6/5/2023,2023,6,5,649,Kenya,KE-800,Western,,Kakamega Forest NR--Udo's Camp,0.353234,34.8638034,,Song,Used,,,,,Mix Pre 3,Sennheiser ME67,,,S140585332,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
589324831,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Nicator chloris -- Western Nicator,Rose Ann Rowlett,3/30/2023,2023,3,30,630,Ghana,GH-AH,Ashanti,,Kwabena Sam Forest,6.1039796,-1.3495489,Adult Male – 1,Foraging or Eating; Song,Not Used,,,,,Fostex FR-2LE,Sennheiser ME62,"Telinga Universal 22"" parabola",,S134241848,,,,"An African Emerald Cuckoo sings from high in the canopy as a Western Nicator sings from a dense viny tangle among the remnant forest (after logging out all the biggest trees) of Kwabena Sam Forest. Recorded using a Fostex FR-2LE with a Sennheiser ME62 & Telinga Universal 22"" parabola. ","more and more heard singing as the morning progressed, singing from the canopy; REW and RAR saw an independent juvenile low in dense vegetation; good cuckoo singing today perhaps related to yesterday's heavy rain after dark",Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
589188471,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Leite,6/2/2023,2023,6,2,1004,Kenya,KE-600,Nyanza,,"Unnamed Road, Homa Bay County, KE (-0,738, 34,156) FG14",-0.738242,34.1556614,,Song,Used,,,,,Mix Pre 3,Sennheiser ME67,,,S140245411,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
589188481,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Leite,6/2/2023,2023,6,2,1004,Kenya,KE-600,Nyanza,,"Unnamed Road, Homa Bay County, KE (-0,738, 34,156) FG14",-0.738242,34.1556614,,Song,Used,,,,,Mix Pre 3,Sennheiser ME67,,,S140245411,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
582801601,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,11/2/2022,2022,11,2,1357,Zambia,ZM-02,Central,,Kasanka NP,-12.5720782,30.2563477,,Call,Unspecified,,,,,,,,,S121819346,,,,Excitement call,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
580347481,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,10/19/2021,2021,10,19,500,DR Congo,CD-BN,Bandundu,,"Lekuma Forest (section of Nkombo Forest)@ -2.53089, 16.81898",-2.53089,16.81898,Adult Male – 1,Song,Unspecified,,,,,,,,,S114592406,,,,,2-3 in terra firme,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
572207261,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,David Bree,4/14/2023,2023,4,14,647,Ghana,GH-AH,Ashanti,,Kwabena Sam Forest,6.1039796,-1.3495489,,,Not Used,,,,,Moto g8 phone with Dolby ON app,Rode videomic ME,,,S133867225,,,,,Heard a lot but also brief scope look,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
572200561,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Pogoniulus subsulphureus -- Yellow-throated Tinkerbird,David Bree,4/13/2023,2023,4,13,1553,Ghana,GH-AH,Ashanti,,Picathartes cave,6.1575026,-1.3513023,,,Not Used,,,,,Moto g8 phone with Dolby On app,Rode videomic ME,,,S133866853,,,,,Calling,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
570673831,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Michael Hurben,5/1/2023,2023,5,1,1310,Uganda,UG-C,Central,,"Unnamed Road, Central Region, UG (0.08, 32.353)",0.0795506,32.352663,,,Unspecified,,,,,,,,,S135666832,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,2,,,
567357981,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Horizocerus albocristatus -- White-crested Hornbill,David Bree,4/8/2023,2023,4,8,606,Ghana,GH-CP,Central,,Antwikwaa--forest edge & farm scrub,5.4306,-1.4145,,Song,Not Used,,,,,Moto G8 with Dolby On app,Rode Videomic ME,,,S133099531,,,,,One calling. Andrew got female in scope but back lit,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
542518881,Audio,African Emerald Cuckoo (Bioko),Chrysococcyx cupreus intermedius,Laniarius poensis poensis -- Western Boubou (Bioko); Corythaeola cristata -- Great Blue Turaco; Illadopsis rufipennis -- Pale-breasted Illadopsis; Cinnyris reichenowi -- Northern Double-collared Sunbird,Garrett Rhyne,2/22/2023,2023,2,22,706,Equatorial Guinea,GQ-I-BS,Región Insular,Bioko Sur,BBPP Research Station--Moka,3.3567617,8.6606383,,Song,Unspecified,,,,,,,,,S129343873,,,,,,Chrysococcyx cupreus,afecuc3,Group,3273,,3.5,2,,,
540178801,Audio,African Emerald Cuckoo (African),Chrysococcyx cupreus cupreus,,Yizhar Amir,2/27/2023,2023,2,27,719,Uganda,UG-W,Western,,Bwindi-Impenetrable NP--Mubwindi Swamp,-1.0812369,29.7578691,,,Unspecified,,,,,,,,,S129787138,,,,,Heard only,Chrysococcyx cupreus,afecuc2,Group,3272,,0,0,,,
531816331,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Michel Robert,1/17/2023,2023,1,17,927,Kenya,KE-200,Central,,"Unnamed Road, Kirinyaga County, KE (-0,384, 37,311)",-0.3844019,37.3113255,,,Unspecified,,,,,,,,,S126347775,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
527839271,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Rose Ann Rowlett,7/28/1990,1990,7,28,630,DR Congo,CD-SK,Sud-Kivu,,Irangi to Hombo area,-1.8583812,28.4460792,Adult Male – 1,Song,Not Used,,,,,Sony TCM-5000,Sennheiser ME62,foam windscreen,,S126545903,,,,"Spontaneous song of an African Emerald Cuckoo from right at camp at Irangi. Don't know what the descending song in the background is.... Digitized from original recording on a Sony TCM-5000, using a Sennheiser ME62 & foam windscreen. ",,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
526913321,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Barry Reed,1/11/2023,2023,1,11,1400,Liberia,LR-NI,Nimba,,"Blue Lake road, Mount Nimba (7.559, -8.507)",7.5588637,-8.5072349,,,Unspecified,,,,,,,,,S125975702,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
521622441,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Centropus senegalensis -- Senegal Coucal,Henry Burton,10/9/2021,2021,10,9,947,Côte d'Ivoire,CI-01,Lagunes (Région des),,Foret du Banco,5.3842848,-4.056015,,Song,Unspecified,,,,,,,,,S95840398,,,,,Heard but not identified at the time. Added to list later based on recordings.,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
520561801,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Kenneth Hillan,1/5/2023,2023,1,5,608,Zimbabwe,ZW-MN,Matabeleland North,,Matetsi Victoria Falls,-17.8650235,25.5020839,,,Unspecified,,,,,,,,,S125443615,,,,,Clearly heard with recording,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
512844891,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Wayne Paes,10/29/2022,2022,10,29,600,Angola,AO-CUS,Cuanza Sul,,Gabela Forest,-10.8225153,14.364624,,,Unspecified,,,,,,,,,S122249473,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
