,Recording_ID,Dan,Shelby
1,780410,1,
2,780189,2,
3,780188,2,
4,739529,1,
5,726829,3,
6,718994,4,
7,718993,1,
8,615910,1,
9,615909,1,
10,608584,3,3
11,522379,1,5
12,486574,1,5
13,399979,1,6
14,399950,1,6
15,351743,1,5
16,337884,1,6
17,336131,3,5
18,336129,3,5
19,300105,1,4
20,300104,3,4
21,237571,2,4
22,811150,3,
23,810996,5,
24,810995,2,
25,792197,5,
26,792194,5,
27,792193,5,
28,779358,1,
29,762107,3,
30,726828,5,
31,718997,2,
32,718996,3,
33,718995,3,
34,709886,4,
35,706519,3,
36,700647,1,
37,692106,4,
38,690366,3,
39,690136,5,
40,679785,3,
41,621765,3,
42,621416,3,
43,595802,2,2
44,591478,5,3
45,525298,5,3
46,525272,4,2
47,524395,2,4
48,524394,2,4
49,514296,4,2
50,514216,4,4
51,514164,3,2
52,504215,4,3
53,498547,5,1
54,498546,5,1
55,422280,1,4
56,401269,1,5
57,397912,4,4
58,397448,3,2
59,397447,2,2
60,389041,2,4
61,347516,5,1
62,347514,5,1
63,347513,5,1
64,337885,3,4
65,334108,3,5
66,328695,5,1
67,302964,4,2
68,302962,5,1
69,289343,2,5
70,288123,3,4
71,283230,1,5
72,280039,3,4
73,266329,1,5
74,265154,5,1
75,265153,5,1
76,264908,2,4
77,237570,3,3
78,233906,4,3
79,233905,3,5
80,233904,2,5
81,200575,3,4
82,179668,4,2
83,169673,3,2
84,164104,2,5
85,138030,3,3
86,137080,3,2
87,125134,2,5
88,125133,3,5
89,125132,4,5
90,115262,3,4
91,115261,2,3
92,99171,5,3
93,99170,5,2
94,99169,4,3
95,99168,2,3
96,99167,4,1
97,48244,3,5
98,43706,2,4
99,689709,5,
100,539541,5,1
101,516111,3,2
102,514165,5,1
103,508800,3,3
104,460517,5,3
105,460515,3,2
106,413122,2,3
107,404370,2,4
108,397560,5,1
109,396811,5,2
110,396810,5,2
111,348764,4,3
112,316015,5,1
113,295582,5,2
114,289342,2,5
115,288081,5,3
116,285391,5,1
117,205693,5,2
118,205582,5,1
119,196096,2,3
120,157007,5,1
121,138032,4,3
122,138027,5,2
123,118454,5,2
124,99166,4,1
125,99165,3,2
126,95664,2,4
127,78569,4,2
128,397446,5,1
129,359007,5,1
130,350089,2,6
131,77337,5,1
