,Recording_ID,Dan,Shelby
98,43706,,4
97,48244,,5
131,77337,,1
127,78569,,2
126,95664,,4
125,99165,,2
124,99166,,1
96,99167,,1
95,99168,,3
94,99169,,3
93,99170,,2
92,99171,,3
91,115261,,3
90,115262,,4
123,118454,,2
89,125132,,5
88,125133,,5
87,125134,,5
86,137080,,2
122,138027,,2
85,138030,,3
121,138032,,3
120,157007,,1
84,164104,,5
83,169673,,2
82,179668,,2
119,196096,,3
81,200575,,4
118,205582,,1
117,205693,,2
80,233904,,5
79,233905,,5
78,233906,,3
77,237570,,3
21,237571,,4
76,264908,,4
75,265153,,1
74,265154,,1
73,266329,,5
72,280039,,4
71,283230,,5
116,285391,,1
115,288081,,3
70,288123,,4
114,289342,,5
69,289343,,5
113,295582,,2
20,300104,,4
19,300105,,4
68,302962,,1
67,302964,,2
112,316015,,1
66,328695,,1
65,334108,,5
18,336129,,5
17,336131,,5
16,337884,,6
64,337885,,4
63,347513,,1
62,347514,,1
61,347516,,1
111,348764,,3
130,350089,,6
15,351743,,5
129,359007,,1
60,389041,,4
110,396810,,2
109,396811,,2
128,397446,,1
59,397447,,2
58,397448,,2
108,397560,,1
57,397912,,4
14,399950,,6
13,399979,,6
56,401269,,5
107,404370,,4
106,413122,,3
55,422280,,4
105,460515,,2
104,460517,,3
12,486574,,5
54,498546,,1
53,498547,,1
52,504215,,3
103,508800,,3
51,514164,,2
102,514165,,1
50,514216,,4
49,514296,,2
101,516111,,2
11,522379,,5
48,524394,,4
47,524395,,4
46,525272,,2
45,525298,,3
100,539541,,1
44,591478,,3
43,595802,,2
10,608584,,3
9,615909,,
8,615910,,
42,621416,,
41,621765,,
40,679785,,
99,689709,,
39,690136,,
38,690366,,
37,692106,,
36,700647,,
35,706519,,
34,709886,,
7,718993,,
6,718994,,
33,718995,,
32,718996,,
31,718997,,
30,726828,,
5,726829,,
4,739529,,
29,762107,,
28,779358,,
3,780188,,
2,780189,,
1,780410,,
27,792193,,
26,792194,,
25,792197,,
24,810995,,
23,810996,,
22,811150,,
