"","Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date","group","Altitude","sex","stage","method","file.name","Spectrogram_small","Spectrogram_med","Spectrogram_large","Spectrogram_full","osci.small","osci.med","osci.large","Length","Uploaded","Other_species1","Other_species2","Remarks","Bird_seen","animal.seen","Playback_used","temp","regnr","auto","dvc","mic","smp","Other_species","Other_species3","Other_species4","Other_species5","sound.files"
"1","780410","Chrysococcyx","cupreus","","African Emerald Cuckoo","Rick Nuttall","South Africa","Ithala Game Reserve, Pongola district, KwaZulu-Natal",-27.5507,31.2658,"song","https://xeno-canto.org/780410/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/780410","A","10:00","2002-11-22","birds","1000","male","adult","field recording","XC780410-20021122_23a1_Cuckoo,-Afr-Emerald_m_song_Ithala-GR,-Louwsburg,-KZN_XC_READY.mp3","//xeno-canto.org/sounds/uploaded/CZDNDLXZWN/ffts/XC780410-small.png","//xeno-canto.org/sounds/uploaded/CZDNDLXZWN/ffts/XC780410-med.png","//xeno-canto.org/sounds/uploaded/CZDNDLXZWN/ffts/XC780410-large.png","//xeno-canto.org/sounds/uploaded/CZDNDLXZWN/ffts/XC780410-full.png","//xeno-canto.org/sounds/uploaded/CZDNDLXZWN/wave/XC780410-small.png","//xeno-canto.org/sounds/uploaded/CZDNDLXZWN/wave/XC780410-med.png","//xeno-canto.org/sounds/uploaded/CZDNDLXZWN/wave/XC780410-large.png","1:36","2023-02-14","Pycnonotus tricolor","Turdus libonyana","A male singing from the canopy of a tree in open woodland. Minimal high pass filtering applied; normalized to -3dB.","yes","yes","no","","","no","","","44100",NA,NA,NA,NA,"Chrysococcyx-cupreus-780410.mp3"
"2","780189","Chrysococcyx","cupreus","","African Emerald Cuckoo","isaac kilusu","Tanzania","Endoro cave trail,Karatu,NCA",-3.2981,35.6647,"song","https://xeno-canto.org/780189/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/780189","A","8:18","2023-01-31","birds","1600","","adult","field recording","XC780189-emerald-cuckoo818.mp3","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780189-small.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780189-med.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780189-large.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780189-full.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/wave/XC780189-small.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/wave/XC780189-med.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/wave/XC780189-large.png","0:35","2023-02-13",NA,NA,"singing on treetops","no","no","no","","","no","","phone","48000",NA,NA,NA,NA,"Chrysococcyx-cupreus-780189.mp3"
"3","780188","Chrysococcyx","cupreus","","African Emerald Cuckoo","isaac kilusu","Tanzania","Endoro cave trail,Karatu,NCA",-3.2981,35.6647,"song","https://xeno-canto.org/780188/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/780188","A","8:19","2023-01-31","birds","1600","","adult","field recording","XC780188-emerald-cuckoobst819.mp3","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780188-small.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780188-med.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780188-large.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/ffts/XC780188-full.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/wave/XC780188-small.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/wave/XC780188-med.png","//xeno-canto.org/sounds/uploaded/FAMEEAPTYE/wave/XC780188-large.png","0:36","2023-02-13",NA,NA,"singing on treetops","no","no","no","","","no","","phone","48000",NA,NA,NA,NA,"Chrysococcyx-cupreus-780188.mp3"
"4","739529","Chrysococcyx","cupreus","","African Emerald Cuckoo","Peter Boesman","Uganda","Kibale National Park, Western Region",0.4698,30.3672,"song","https://xeno-canto.org/739529/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/739529","A","09:00","2022-06-20","birds","","","","field recording","XC739529-LS_50924 Emerald Cuckoo song A.mp3","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739529-small.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739529-med.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739529-large.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739529-full.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739529-small.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739529-med.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739529-large.png","0:18","2022-07-27",NA,NA,"","unknown","unknown","unknown","","","no","","","48000",NA,NA,NA,NA,"Chrysococcyx-cupreus-739529.mp3"
"5","726829","Chrysococcyx","cupreus","","African Emerald Cuckoo","Brendan Sloan","Ghana","Atewa Forest",NA,NA,"song","https://xeno-canto.org/726829/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/726829","A","07:30","2021-10-30","birds","600 masl approx","","","field recording","XC726829-R07_0065 Emerald Cuckoo.mp3","//xeno-canto.org/sounds/uploaded/TNTQAOFHFM/ffts/XC726829-small.png","//xeno-canto.org/sounds/uploaded/TNTQAOFHFM/ffts/XC726829-med.png","//xeno-canto.org/sounds/uploaded/TNTQAOFHFM/ffts/XC726829-large.png","//xeno-canto.org/sounds/uploaded/TNTQAOFHFM/ffts/XC726829-full.png","//xeno-canto.org/sounds/uploaded/TNTQAOFHFM/wave/XC726829-small.png","//xeno-canto.org/sounds/uploaded/TNTQAOFHFM/wave/XC726829-med.png","//xeno-canto.org/sounds/uploaded/TNTQAOFHFM/wave/XC726829-large.png","0:23","2022-05-25",NA,NA,"","no","no","no","","","no","","","48000",NA,NA,NA,NA,"Chrysococcyx-cupreus-726829.mp3"
"6","718994","Chrysococcyx","cupreus","","African Emerald Cuckoo","Peter Boesman","Ghana","Nyamibe Forest (Bonkro)",6.1619,-1.349,"song","https://xeno-canto.org/718994/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/718994","A","11:00","2022-03-21","birds","","","","field recording","XC718994-LS_59948 African Emerald Cuckoo song A Naked-faced Barbet.mp3","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718994-small.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718994-med.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718994-large.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718994-full.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC718994-small.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC718994-med.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC718994-large.png","1:01","2022-04-26",NA,NA,"","unknown","unknown","unknown","","","no","","","48000","Gymnobucco calvus",NA,NA,NA,"Chrysococcyx-cupreus-718994.mp3"
"7","718993","Chrysococcyx","cupreus","","African Emerald Cuckoo","Peter Boesman","Ghana","Kakum National Park",5.3703,-1.3626,"song","https://xeno-canto.org/718993/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/718993","A","08:00","2022-03-22","birds","","","","field recording","XC718993-LS_50006 African Emerald Cuckoo song A.mp3","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718993-small.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718993-med.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718993-large.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC718993-full.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC718993-small.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC718993-med.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC718993-large.png","0:31","2022-04-26",NA,NA,"","unknown","unknown","unknown","","","no","","","48000",NA,NA,NA,NA,"Chrysococcyx-cupreus-718993.mp3"
"8","615910","Chrysococcyx","cupreus","","African Emerald Cuckoo","Nature sounds by Simply Birding","South Africa","Dlinza Forest Aerial Boardwalk (near  Eshowe), (South) Uthungulu DC, KwaZulu-Natal",-28.8919,31.4514,"song","https://xeno-canto.org/615910/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/615910","A","15:00","2007-12-17","birds","550","male","adult","field recording","XC615910-African Emerald Cuckoo - C. c. sharpei - Song - DN - Eshowe - 17 Dec 2007.mp3","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615910-small.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615910-med.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615910-large.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615910-full.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC615910-small.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC615910-med.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC615910-large.png","0:47","2021-01-19",NA,NA,"","yes","yes","no","","","no","","","44100",NA,NA,NA,NA,"Chrysococcyx-cupreus-615910.mp3"
"9","615909","Chrysococcyx","cupreus","sharpei","African Emerald Cuckoo","Nature sounds by Simply Birding","South Africa","Greater Plettenberg Bay (near  Plettenberg Bay), South Cape DC, Western Cape",-34.0575,23.3645,"song","https://xeno-canto.org/615909/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/615909","A","07:00","1964-01-12","birds","80","male","","field recording","XC615909-African Emerald Cuckoo - C. c. sharpei - Song - CH - Plettenberg bay - Jan 1964.mp3","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615909-small.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615909-med.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615909-large.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC615909-full.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC615909-small.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC615909-med.png","//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC615909-large.png","2:23","2021-01-19",NA,NA,"","yes","yes","no","","","no","","","44100",NA,NA,NA,NA,"Chrysococcyx-cupreus-615909.mp3"
"10","608584","Chrysococcyx","cupreus","","African Emerald Cuckoo","Phil Gregory","Uganda","Kibale National Park, Western Region",0.4698,30.3672,"call","https://xeno-canto.org/608584/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/608584","A","08:00","2018-05-19","birds","1300","male","","field recording","XC608584-Emerald Cuckoo  and Fire-crested Alethe Kibale May 19 2018 edit PG1617.mp3","//xeno-canto.org/sounds/uploaded/GNEWSLMDAM/ffts/XC608584-small.png","//xeno-canto.org/sounds/uploaded/GNEWSLMDAM/ffts/XC608584-med.png","//xeno-canto.org/sounds/uploaded/GNEWSLMDAM/ffts/XC608584-large.png","//xeno-canto.org/sounds/uploaded/GNEWSLMDAM/ffts/XC608584-full.png","//xeno-canto.org/sounds/uploaded/GNEWSLMDAM/wave/XC608584-small.png","//xeno-canto.org/sounds/uploaded/GNEWSLMDAM/wave/XC608584-med.png","//xeno-canto.org/sounds/uploaded/GNEWSLMDAM/wave/XC608584-large.png","0:18","2020-12-13",NA,NA,"","yes","yes","no","","","no","","","44100","Alethe castanea",NA,NA,NA,"Chrysococcyx-cupreus-608584.mp3"
