"ID","n1_s1_pk","n1_s2_pk","n1_s3_pk","n1_s4_pk","n1_s1_max","n1_s2_max","n1_s3_max","n1_s4_max","n1_s1_min","n1_s2_min","n1_s3_min","n1_s4_min","n1_s1_maxsl","n1_s2_maxsl","n1_s3_maxsl","n1_s4_maxsl","n1_s1_minsl","n1_s2_minsl","n1_s3_minsl","n1_s4_minsl","n1_entr","n1_dur","n2_s1_pk","n2_s2_pk","n2_s3_pk","n2_s4_pk","n2_s1_max","n2_s2_max","n2_s3_max","n2_s4_max","n2_s1_min","n2_s2_min","n2_s3_min","n2_s4_min","n2_s1_maxsl","n2_s2_maxsl","n2_s3_maxsl","n2_s4_maxsl","n2_s1_minsl","n2_s2_minsl","n2_s3_minsl","n2_s4_minsl","n2_entr","n2_dur","n3_s1_pk","n3_s2_pk","n3_s3_pk","n3_s4_pk","n3_s1_max","n3_s2_max","n3_s3_max","n3_s4_max","n3_s1_min","n3_s2_min","n3_s3_min","n3_s4_min","n3_s1_maxsl","n3_s2_maxsl","n3_s3_maxsl","n3_s4_maxsl","n3_s1_minsl","n3_s2_minsl","n3_s3_minsl","n3_s4_minsl","n3_entr","n3_dur","n4_s1_pk","n4_s2_pk","n4_s3_pk","n4_s4_pk","n4_s1_max","n4_s2_max","n4_s3_max","n4_s4_max","n4_s1_min","n4_s2_min","n4_s3_min","n4_s4_min","n4_s1_maxsl","n4_s2_maxsl","n4_s3_maxsl","n4_s4_maxsl","n4_s1_minsl","n4_s2_minsl","n4_s3_minsl","n4_s4_minsl","n4_entr","n4_dur"
"ind_1",2.99388376485432,2.72830953066753,2.38148621024072,2.60885094950477,3.80216194384559,2.84054457466978,2.55408642819,3.13484969896762,3.01468250150268,2.55761476015946,2.34598934072111,2.29228644896146,0,0,0,0.0929424094484455,-0.0861328125000003,-0.0861328125000003,-0.0862457882382929,0,0.453053186750708,0.110189407672336,2.53898819786593,2.44656096693224,2.20087612363415,1.99224148591357,2.81352038430002,2.56950986258378,2.40104109482033,2.16609168469044,2.3855828965214,2.31973733912648,2.0694878521774,1.87549816619745,0,0,0,0,-0.0861328125000003,-0.0719441801834331,-0.0861328125000003,-0.0861328125000001,0.399109544177739,0.239583771337768,2.40939433283375,2.30336619362688,2.21770515715922,2.23184836250036,2.93556483822333,2.45271473657374,2.36628581480472,2.3255859375,2.31973221688291,2.21926166277634,2.1533203125,2.1122693994563,0,0,-0.0230917558343618,0.0295685831063417,-0.0861328125000003,-0.0842862054836887,-0.139082389589394,-0.080382351883454,0.362685609023296,0.270094495898242,2.54079028745712,2.44941317770473,2.65875769277654,2.72170756092395,3.17761288992621,2.43525545800593,2.78784377841793,3.20573196292832,2.37920691885599,2.25541309117945,2.45388130160438,2.54105700985788,0,0.0742392327270473,0.0861328125000003,0.0896621638979219,-0.0861328125000003,-0.0362190374775818,0,-0.0169653060080775,0.429650108571988,0.176342218642271
"ind_2",3.53697540947855,2.72715397824874,2.39002948611748,2.42467500665822,3.7495134092182,2.79060166613704,2.59778020498463,3.21699386207432,2.9052118821762,2.53926826692809,2.3012648492224,2.40465404325046,0,0,0,0.113035960809504,-0.0861328125000003,-0.0861328125000003,-0.0416589682082849,0,0.435872578325488,0.107884898929171,2.55213825022506,2.41259084158824,2.25821704623455,2.05804027361142,2.87810075097674,2.60792026031332,2.42288732790982,2.13096289684374,2.49777018206934,2.33012509557761,2.13878008058934,1.79069653640351,0,0,0,0,-0.0861328125000003,-0.0758597304397107,-0.0861328125000003,-0.0861328125000003,0.414742347721326,0.241132856023237,2.40349729789429,2.29937794659388,2.22332282730393,2.25519153650538,3.09374333751644,2.45075009938782,2.43359503923249,2.3255859375,2.30059495442457,2.23346511814147,2.1533203125,2.13229106499498,0,0,0.0260764134660743,0.00422800879550148,-0.0861328125000003,-0.13408830033175,0.00146903186448181,-0.085102284965458,0.350941437684541,0.258218493050747,2.56045389639866,2.33676043360489,2.70803345984064,2.77496345951544,3.26888481570896,2.57113938635301,2.73956161118887,3.20560380175404,2.41175745768522,2.20754269198607,2.42421905490959,2.58235458059302,0,0.0749841550829101,0.0861328125000003,0.100638634711846,-0.0861328125000003,-0.0820264420705835,0,-0.030123295203406,0.424410737501647,0.178060665808055
"ind_3",3.16149404864259,2.65423633027411,2.44146462538933,2.46946731017376,3.85883828555461,2.81296986721193,2.62638560820343,3.30286991878033,3.03784268237497,2.50140670270931,2.37170240176271,2.32389507388142,0,0,0,0.0874898952913137,-0.0861328125000003,-0.0861328125000003,-0.0432120113250496,0,0.495572250766127,0.11224415035928,2.53835916917516,2.47133392006627,2.29533168864154,2.00147208959596,2.99278425599243,2.60658215594005,2.41914884073118,2.13389830293825,2.42178853093773,2.29733380865642,2.11786267575678,1.87453017581051,0,0,0,0,-0.0861328125000003,-0.0457412593187679,-0.0861328125000003,-0.0861328125000003,0.418498355000504,0.272263070813223,2.47064620408601,2.30853784929011,2.2716944065661,2.20649072353561,2.7221082993888,2.41054219552191,2.43778352810341,2.3255859375,2.29641494368109,2.23211371966823,2.1533203125,2.1688236850033,0,0,0.000321371680080446,0.012783071286794,-0.0861328125000003,-0.0730565303569657,-0.0354792904059432,-0.0688239516356611,0.367770005536149,0.256187026309361,2.59146843627875,2.35326345351652,2.66812829964321,2.68889999906392,3.08459680581463,2.53460664454799,2.86597480085986,3.26573418202753,2.42106850371514,2.27520354421602,2.37931843178199,2.62643046906736,0,0.0392634613121605,0.0861328125000003,0.106426616257379,-0.0861328125000003,-0.0604362399862794,0,0.0189008332935802,0.427300539509412,0.17720175839679
"ind_4",3.27875441788128,2.70590091880857,2.4904758108065,2.66523094166492,3.80142344153578,2.74689853884342,2.55214909356271,3.09451613217357,2.88764944202897,2.54859323609275,2.36392688150292,2.3654327453962,0,0,0,0.0929184166530721,-0.0861328125000003,-0.0861328125000003,-0.0681819108863728,0,0.426704782448999,0.107643283665667,2.51128440136649,2.43581222477869,2.23204420872559,2.04879750679318,2.93350415277382,2.46491420253931,2.37790854640696,2.04295705227704,2.49795289076744,2.28861336431868,2.11873224071001,1.86000748979161,0,0,0,0,-0.0861328125000003,-0.0757500194386231,-0.0861328125000003,-0.0861328125000003,0.415489395048937,0.244967640051274,2.43590322206341,2.32193083113824,2.27056506144819,2.21934365796386,2.88695584285119,2.41670437423122,2.35113804497749,2.3255859375,2.29219292842477,2.27723020838537,2.1533203125,2.16989965108551,0,0,0.0329780623932884,0.00236790263712139,-0.0861328125000003,-0.153203974246802,-0.0980565997946294,-0.0540441904320485,0.32063662921867,0.258065659221118,2.55472699842794,2.36643618255508,2.74673560470972,2.67303765532926,3.15726150006527,2.53570298281696,2.88185195612109,3.20223556281942,2.36965774152598,2.27573835084059,2.39403976326823,2.50812549501558,0,0.0523142524480296,0.0861328125000003,0.112653079708723,-0.0861328125000003,-0.0776134103106231,0,0.0312177863402977,0.422672074626497,0.183280477691596
"ind_5",3.1903735930669,2.67744011270707,2.38922953809575,2.45035287137868,3.67473952772019,2.7666625395022,2.56175771740518,3.21673198553914,2.77915816620219,2.34909491583466,2.362570131261,2.41428397480319,0,0,0,0.086433846293894,-0.0861328125000003,-0.0861328125000003,-0.0792245916742543,0,0.427112644496329,0.109181934514738,2.54606923425603,2.46574054965823,2.29061112187819,2.01746549630776,2.97319242227946,2.56435486632563,2.39598578144552,2.19225681505534,2.47844876533025,2.37060814449627,2.11840243169767,1.89534797686166,0,0,0,0,-0.0861328125000003,-0.0998377910606152,-0.0861328125000003,-0.0861328125000001,0.430240809794356,0.231466439499378,2.41292621246129,2.33565123135183,2.23617677866335,2.21033250575894,3.03252932463789,2.45040317281881,2.27998895922387,2.3255859375,2.32092803072352,2.24206536665516,2.1533203125,2.08577881040024,0,0,0.0237343661070141,-0.0117891021631815,-0.0861328125000003,-0.0367432226158739,-0.08685976157496,-0.0446007432181975,0.356402578351345,0.264022303153622,2.61745785557214,2.46281077480696,2.59802054350261,2.72945904332553,3.16227509848051,2.52022342311404,2.8917035793394,3.24923166449807,2.35328970187691,2.27102586488901,2.41942607275827,2.57586108313286,0,-0.0496546519335552,0.0861328125000003,0.1074769226187,-0.0861328125000003,-0.0960349666043396,0,0.0413771201163809,0.422837032009942,0.178394350255293
"ind_6",3.38283184902851,2.6379905313309,2.43802003736498,2.66055134955089,3.58099325215674,2.79879750386502,2.54680587464528,3.30229954203647,2.74542776418805,2.37907657698586,2.30303858139632,2.40026817192265,0,0,0,0.0953576574339639,-0.0861328125000003,-0.0861328125000003,-0.0408682736436708,0,0.443317535675717,0.109096473131902,2.61056806910316,2.42097761751631,2.3629829461291,1.99667705742136,2.85114035583736,2.53999440234372,2.43966141805774,2.17680781718396,2.44386961697026,2.30943809817716,2.03616835709632,1.89441252658901,0,0,0,0,-0.0861328125000003,-0.0509848930372439,-0.0861328125000003,-0.0861328125000003,0.394658051725533,0.19708042735782,2.38665529252756,2.33823056820009,2.25566154854881,2.252531977289,3.34823480153623,2.37168908918136,2.39248806214868,2.3255859375,2.31427976928767,2.22156235307626,2.1533203125,2.15534649850504,0,0,0.0358590344850667,0.0256065124049296,-0.0861328125000003,-0.091183162697067,-0.00166727531144412,-0.109514918989104,0.332731249983308,0.291274857097887,2.53955369421875,2.41879682180177,2.74563189319158,2.71275412717232,3.16296012562553,2.43394700636371,2.82767760600906,3.2670496068599,2.29257846521855,2.19442488827229,2.40922706538398,2.54987573892665,0,0.0632545931487994,0.0861328125000003,0.100241343321649,-0.0861328125000003,-0.0660007660932295,0,0.00357431402866324,0.412324487656623,0.179729533864289
"ind_7",3.30176073547519,2.63962034800414,2.48775233218857,2.35862941953649,3.7339101289758,2.67490069507197,2.60519388159324,3.28833655541911,2.94897433788907,2.43601173004712,2.33167710579579,2.32100048897507,0,0,0,0.0930846459689033,-0.0861328125000003,-0.0861328125000003,-0.050880253459016,0,0.467199212812935,0.103368135414687,2.54623436486344,2.46213729934094,2.1773003662771,2.01455836190218,2.67877202200306,2.58653226180615,2.41964158852066,2.30140882030037,2.41486737108673,2.29805269670095,2.11237806884579,1.84745671719923,0,0,0,0,-0.0861328125000003,-0.0349941862445632,-0.0861328125000003,-0.0861328125000002,0.448101514071584,0.21950294606499,2.35771642786313,2.34464297146817,2.19045235252392,2.21288375328877,2.91779351497438,2.47030078618233,2.48920064080988,2.3255859375,2.33927224245714,2.23022161482686,2.1533203125,2.12894773642312,0,0,0.00376358230138772,-0.00561080220435077,-0.0861328125000003,-0.0743980507004527,-0.0489496247041297,-0.0668480144619222,0.344904154024289,0.262468839493301,2.57219288396643,2.35614381166756,2.62665649069468,2.761720660221,3.22961257372743,2.54615451222526,2.88288121844492,3.3215349761309,2.42210955824942,2.26336861098709,2.49213975125378,2.55892174801258,0,0.0129503321883075,0.0861328125000003,0.0856552897728925,-0.0861328125000003,-0.0980315272134411,0,0.0266532854292795,0.426148498642758,0.179458692260927
"ind_8",3.06114239563253,2.45075405679478,2.42384180508207,2.35349946616107,3.81492948414447,2.63089595332123,2.56541578551737,3.29660053546574,2.93595526120324,2.36643792706035,2.34579239461232,2.32139818294357,0,0,0,0.0614835942423133,-0.0861328125000003,-0.0861328125000003,-0.0986633366029344,0,0.43538548328954,0.110350290698343,2.64864502808443,2.45848655046542,2.22503091302611,2.04043871875962,2.86849651748483,2.56146844931631,2.40719366098749,2.02466740599175,2.42001095482793,2.2673897901354,2.15495945674701,1.89835120613996,0,0,0,0,-0.0861328125000003,-0.106876636565633,-0.0861328125000003,-0.0861328125000003,0.433511638411153,0.210746126524193,2.40165447311943,2.32323939111508,2.25163117541523,2.25797024600719,2.94237036417103,2.48964845454447,2.3798421370988,2.3255859375,2.33242754993036,2.22722370506943,2.1533203125,2.06060449902807,0,0,-0.0149143804127873,0.014602425171175,-0.0861328125000003,-0.0358897964133788,-0.0564791020832532,-0.045913867822963,0.34981635148478,0.272367125544828,2.62522752210922,2.33750555666282,2.73115830100402,2.77472603315563,3.08058152982356,2.53164859218791,2.83889891994181,3.38058338451528,2.44369335588483,2.26959752842581,2.43650174129081,2.64770479907236,0,-0.0157758367782183,0.0861328125000003,0.0731169637167149,-0.0861328125000003,-0.0941782311836828,0,-0.0125544366572742,0.418407144220741,0.174022112440021
"ind_9",2.9831150638231,2.59508123967555,2.44327784629747,2.54040907177523,3.50961390761123,2.75318779157034,2.54942688997301,3.15419349962779,2.78319128360411,2.43070515282885,2.34985401512733,2.36310626558871,0,0,0,0.0645598460229891,-0.0861328125000003,-0.0861328125000003,-0.0870903539179371,0,0.439420306331949,0.109131610613395,2.51176176627251,2.36043116346877,2.20283919414228,2.11450774553923,2.83385999477259,2.51655769739029,2.3726596307952,2.01252148324,2.43251289396581,2.29622732010831,2.01460931965548,1.926790041966,0,0,0,0,-0.0861328125000003,-0.0715194549668464,-0.0861328125000003,-0.0861328125000003,0.415036873672898,0.221119525251699,2.46380566226206,2.34369991333954,2.27434354003288,2.21066692652112,2.96456229377153,2.37896794043056,2.49649862355226,2.3255859375,2.35705629565512,2.23978082274278,2.1533203125,2.16310751795944,0,0,0.0243960066560792,0.0190520640250096,-0.0861328125000003,-0.0420023530782427,-0.00115522008105851,-0.0833411277112208,0.325227453910194,0.271382344805214,2.61237706800173,2.30694171359876,2.69748851948934,2.71544222887286,3.2559049452475,2.49383394025152,2.69020502857648,3.24598179164888,2.36359131326581,2.22941834392058,2.43251589010364,2.62181556140186,0,0.0310020166467934,0.0861328125000003,0.0923687380042309,-0.0861328125000003,-0.0863657217685386,0,-0.0013621250166437,0.417088114867396,0.181601971806959
"ind_9",2.98027724363913,2.58528478363791,2.44493724222116,2.56028723477605,3.54400136633599,2.7564157354528,2.55012051154439,3.10570698751895,2.76306405679103,2.44956230204937,2.35527998697629,2.34353527718538,0,0,0,0.0658360791468363,-0.0861328125000003,-0.0861328125000003,-0.0741000003453976,0,0.439060123684563,0.109158275823142,2.4973192355471,2.36496680242603,2.19709177060449,2.09959487555415,2.78284594377716,2.53813190666719,2.36363406323084,1.99510673886159,2.42708803738374,2.31030253622794,2.02778878350674,1.92148785876681,0,0,0,0,-0.0861328125000003,-0.0785621990309507,-0.0861328125000003,-0.0861328125000003,0.422895281322363,0.218494643179757,2.4668870212771,2.3465268418834,2.26015661950216,2.20906736767657,2.94793325531037,2.39657159417711,2.51074621839285,2.3255859375,2.35189522268321,2.24986722851698,2.1533203125,2.15663226230884,0,0,0.0334678322655963,0.0124338901862604,-0.0861328125000003,-0.0438242645914095,-0.0267775539852986,-0.0779795003074822,0.325387554729803,0.26845983375498,2.63549131611177,2.31723860913361,2.69690931889604,2.72258900218286,3.22868886296354,2.48828780694979,2.71961740936192,3.25213126055258,2.35506897278101,2.22690371951984,2.43301456265698,2.61131823719393,0,0.00408721053571042,0.0861328125000003,0.0908445648996385,-0.0861328125000003,-0.0791358665528436,0,-0.00742787933371375,0.414542604358552,0.180887203254262
"ind_10",3.12898711588154,2.61904829689763,2.44281565212648,2.59734686075703,3.7227039240185,2.93970969410496,2.61773383099103,3.21260389913078,3.01031140130522,2.45536359121285,2.2928975403896,2.40481330734406,0,0,0,0.103879849166851,-0.0861328125000003,-0.0861328125000003,-0.0155413804438509,0,0.443527104225421,0.109714317245799,2.65637931509255,2.40546304806744,2.27885155275734,1.96005370229912,2.79616973773862,2.53363007394889,2.39172441619992,2.24637660406759,2.46227944910263,2.36573701241093,2.17084625945815,1.90260490150061,0,0,0,0,-0.0861328125000003,-0.078059212856515,-0.0861328125000003,-0.0861328125000002,0.41080075214129,0.213043286227674,2.44815271531886,2.2652212815427,2.29592912701162,2.24682003196356,2.86378777320929,2.42205477967347,2.30917646371547,2.3255859375,2.28939821249095,2.20051607472176,2.1533203125,2.12997696913645,0,0,0.0209335135629679,0.0049336773901012,-0.0861328125000003,-0.0176798477156004,-0.137970178854662,-0.0799696749301308,0.324600127180245,0.271881945903214,2.53875556370403,2.41205211264419,2.66570357625436,2.72526885358168,3.28328742117839,2.56314477408047,2.80663451759099,3.14596125311844,2.34996953806021,2.28806778676629,2.4389254761689,2.65200133439403,0,0.0628202348123427,0.0861328125000003,0.0810666071624914,-0.0861328125000003,-0.0784093027677241,0,-0.0115687404552738,0.413102166410169,0.173116327194006
"ind_10",3.08575221535924,2.63220859264803,2.42965008232166,2.55144426465575,3.7346034917217,2.95253398449126,2.60642758850746,3.21064619860575,3.03424109868373,2.46705252505598,2.31285594616131,2.40194213810998,0,0,0,0.110553439948283,-0.0861328125000003,-0.0861328125000003,-0.0142349928138774,0,0.436098057753423,0.111230713548254,2.64928476507567,2.39954444663186,2.27286623810767,1.97415676300753,2.73178569990138,2.52428111853832,2.36851558057999,2.26887675068929,2.45835586092173,2.35777473998029,2.21518506569195,1.9060199297412,0,0,0,0,-0.0861328125000003,-0.0782192941275324,-0.0861328125000003,-0.0861328125000003,0.408962485996472,0.20669265727209,2.44488922607102,2.26705510290881,2.29454423347179,2.24306685318794,2.83360937710722,2.42708690788186,2.30144526068423,2.3255859375,2.29056565352816,2.19352481483942,2.1533203125,2.15314235986519,0,0,0.0131600450481952,0.00437046967692199,-0.0861328125000003,-0.0288605673812694,-0.132748781846681,-0.0819567159162878,0.327902833992393,0.274862050629563,2.55659287065733,2.43261759790238,2.65930340444303,2.7136002517744,3.26672119003095,2.5464369806819,2.79294175332265,3.1541075859714,2.35809376428092,2.29678014467202,2.44032682370848,2.65642449221371,0,0.0715132112692907,0.0861328125000003,0.0810335708169046,-0.0861328125000003,-0.0709684885455673,0,-0.0189052505763362,0.416571900371802,0.17424258302874
"ind_11",3.32341564409827,2.62838105757954,2.48635324948217,2.6040909081613,3.77249932467848,2.8416733620238,2.51879512754458,3.09783062057378,3.16822624376834,2.52284367407007,2.34081454729663,2.3061195861823,0,0,0,0.100271054568194,-0.0861328125000003,-0.0861328125000003,-0.00514294222785823,0,0.444288428431728,0.107584117784738,2.47959139637608,2.46477635529258,2.2788738516789,1.96795790265298,2.64971098039442,2.50274276758161,2.32680252642701,2.19353631309141,2.41847829617303,2.27749875809574,2.01902204948294,1.85738737799437,0,0,0,0,-0.0861328125000003,-0.0466295981006877,-0.0861328125000003,-0.0861328125000004,0.424512387679024,0.200954755962359,2.45236732759743,2.3187861475316,2.25378647124403,2.2331291139305,2.82032394597775,2.409096610675,2.39025854736743,2.3255859375,2.31598307063418,2.23359387830948,2.1533203125,2.13935155156322,0,0,0.0641253737105359,-0.00566226997940578,-0.0861328125000003,-0.0577864238254661,-0.0505086967993636,-0.0544814176572433,0.347226876694747,0.266294233498907,2.57515432470542,2.41609988893677,2.57036171530645,2.84049250497369,3.20676790202079,2.43468166439655,2.80433754726992,3.31651619661047,2.32106745981146,2.31476009657731,2.36663926761192,2.64976498177387,0,0.0314587802183732,0.0861328125000003,0.0951504631089419,-0.0861328125000003,-0.0941656694805694,0,-0.0150587869726975,0.422880942167157,0.179135929246137
