ID,Library,Songs,Latitude,Longitude
1065,ML,5,0.9333333,29.85
8596,ML,6,-1.25,36.8333333
8597,ML,11,-1.25,36.8333333
17983,ML,10,-3.269027,35.566281
23167,ML,6,6.923046,-8.717146
23179,ML,3,6.8027345,-8.7727492
26082,ML,5,1.212127,34.715836
51431,ML,6,-12.8,28.4833333
58625,ML,2,0.4666667,36.3666667
83213,ML,5,-14,34
87341,ML,8,5.216804,-2.649236
94656,ML,29,-8.8166667,33.2666667
146943,ML,12,5.2816667,-2.64
147008,ML,10,5.2816667,-2.64
147035,ML,5,5.2816667,-2.64
212429,ML,12,5.0708,8.8598
236965,ML,6,1.7108,31.5421
275876,ML,5,-28.8947327,31.4483643
276508,ML,8,6.639222,39.7347672
276509,ML,11,6.639222,39.7347672
278801,ML,3,-16.332507,28.720864
524069,ML,6,-23.802,29.94
524089,ML,6,-23.802,29.94
24116811,ML,2,1.6089422,10.8629894
43737801,ML,1,5.3500604,-1.3819599
83863761,ML,6,4.995486,9.687806
122295451,ML,3,-27.9754079,32.36009
144126231,ML,3,-28.8947327,31.4483643
181392571,ML,3,-28.8947327,31.4483643
203917681,ML,7,0.4654,30.3732
203920961,ML,2,5.2947246,-2.5941467
437044401,ML,1,6.1039796,-1.3495489
437044471,ML,4,6.1039796,-1.3495489
467477231,ML,1,0.430883,30.410113
509934691,ML,9,-17.9251598,25.8504232
511054001,ML,1,-16.6507077,27.0700893
511198111,ML,2,-17.9251598,25.8504232
512844891,ML,1,-10.8225153,14.364624
567357981,ML,3,5.4306,-1.4145
609138705,ML,9,-33.9727503,23.564782
609880781,ML,2,-32.5905207,26.9351292
610752209,ML,5,-33.9727503,23.564782
611032609,ML,1,-27.9754079,32.36009
611243173,ML,1,0.79919,30.1000333
615094418,ML,3,-18.4147578,21.8799738
615094420,ML,5,-18.4147578,21.8799738
615240603,ML,4,-19.0591371,33.7364911
615383491,ML,1,-29.7626614,30.7595848
615573149,ML,56,-28.3855824,32.407608
615640804,ML,2,-2.4852747,36.7687941
615674261,ML,6,-2.4852747,36.7687941
626784250,ML,1,-33.968035,23.560999
627803879,ML,7,6.230656,-0.530562
628758684,ML,1,-32.6023627,26.9435098
630346877,ML,4,-28.27802,31.823143
630604428,ML,1,1.6154195,10.8806023
631144613,ML,1,-28.3855824,32.407608
631332173,ML,3,5.3543164,-1.3835876
631761012,ML,9,6.230656,-0.530562
632785333,ML,13,0.2840126,6.5964174
633357242,ML,1,6.2413908,-0.5536509
640121905,ML,10,-0.9010824,29.6849557
643183193,ML,2,-28.3855824,32.407608
645376941,ML,3,-17.8306585,25.6453514
645396141,ML,4,-15.430678,28.42902
645585049,ML,4,-15.430678,28.42902
645634746,ML,3,-18.3684635,32.6409817
645724219,ML,9,-1.42461,38.018205
645786991,ML,4,-1.42461,38.018205
646626296,ML,7,-13.135379,31.784182
647084508,ML,3,-27.621617,32.233699
647284146,ML,5,-15.430678,28.42902
647425132,ML,6,-17.491193,24.31557
647945836,ML,6,-15.430678,28.42902
647945837,ML,5,-15.430678,28.42902
647950005,ML,4,-15.430678,28.42902
648032801,ML,8,-15.430678,28.42902
648560576,ML,8,-33.921413,22.67107
648803389,ML,6,-7.805784,35.803615
648819090,ML,6,0.4005148,30.4133461
648996235,ML,7,-20.403387,32.11714
648996236,ML,7,-20.403387,32.11714
649043677,ML,13,-17.820808,25.656458
649123318,ML,9,-17.817842,25.647638
649389295,ML,8,-15.430678,28.42902
649526480,ML,1,-3.393314,36.629078
649685057,ML,10,-7.7452649,38.2460837
570673831,ML,10, 0.0795506,32.352663
43706,XC,3,-23.8306,29.9951
48244,XC,7,5.5859,-1.4089
95664,XC,1,-1.309,36.769
115262,XC,5,3.3802,11.4652
125133,XC,4,-17.8796,25.8156
125134,XC,3,-17.8796,25.8156
138030,XC,3,0.064,32.479
164104,XC,8,0.5094,12.8016
200575,XC,5,-16.6153,27.0044
233904,XC,5,-16.7763,26.8503
233905,XC,4,-16.7763,26.8503
237570,XC,2,-1.07,29.763
237571,XC,5,-1.07,29.763
264908,XC,8,0.483,30.389
266329,XC,13,6.686,39.7279
280039,XC,6,-28.892887,31.449381
283230,XC,2,0.8233,30.09
288123,XC,5,-33.7524,25.6091
289342,XC,4,-34.0274,24.4379
289343,XC,4,-34.0274,24.4379
300104,XC,8,6.642753,39.733419
300105,XC,11,6.642753,39.733419
336129,XC,6,5.2227,-4.8148
336131,XC,8,5.2227,-4.8148
337884,XC,8,0.1502,6.5823
350089,XC,6,-19.105,32.7533
351743,XC,12,6.1043,-1.3486
389041,XC,2,-33.9742,23.5539
397912,XC,2,-16.332507,28.720864
401269,XC,6,4.997,9.6876
422280,XC,12,6.4108,-1.203
486574,XC,3,12.5161,-16.4333
522379,XC,3,7.4498,-7.6382
524394,XC,7,-18.0142,35.2014
621416,XC,7,-7.8282,35.065
621765,XC,6,-7.8282,35.065
679785,XC,5,-7.8282,35.065
706519,XC,3,5.350645,-1.381902
718993,XC,5,5.3703,-1.3626
718994,XC,9,6.1619,-1.349
718997,XC,6,6.1619,-1.349
726829,XC,3,6.166641,-0.599998
762107,XC,1,-0.3786,11.7003
779358,XC,5,-29.2986,30.3653
842902,XC,21,6.1,-1.35
854345,XC,3,-12.561,30.2654
954343,XC,8,6.2401,-0.557
1052677,XC,3,0.458,30.3757
