"ML.Catalog.Number","Format","Common.Name","Scientific.Name","Background.Species","Caption","Recordist","Date","Year","Month","Day","Time","Country","Country.State.County","State","County","Locality","Latitude","Longitude","Age.Sex","Behaviors","Playback","Captive","Collected","Specimen.ID","Home.Archive.Catalog.Number","Recorder","Microphone","Accessory","Partner.Institution","eBird.Checklist.ID","Unconfirmed","Air.Temp..C.","Water.Temp..C.","Media.notes","Observation.Details","Parent.Species","eBird.Species.Code","Taxon.Category","Taxonomic.Sort","Recordist.2","Average.Community.Rating","Number.of.Ratings","Asset.Tags","Original.Image.Height","Original.Image.Width"
649685057,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","Eurystomus glaucurus -- Broad-billed Roller",NA,"Liam Hutcheson","2026-01-01",2026,1,1,1614,"Tanzania","TZ-19-RU","Coast","Rufiji","Nyerere Tented Camp, Pwani Region, TZ",-7.7452649,38.2460837,"","","Unspecified","false","false",NA,NA,"","","",NA,"S291878977",NA,NA,NA,"","Great views, singing loudly!","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4,3,NA,NA,NA
649526480,"Audio","African Emerald Cuckoo (African)","Chrysococcyx cupreus cupreus","",NA,"David Moyer","2026-01-23",2026,1,23,658,"Tanzania","TZ-01-AU","Arusha","Arusha Urban","Tumbili Lodge",-3.393314,36.629078,"","","Not Used","","",NA,NA,"Zoom F3","Senheisser ME62","Telinga parabola",NA,"S295742921",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc2","Group",3308,NA,2,1,NA,NA,NA
649389295,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Guida Bell-Cross","2026-01-21",2026,1,21,733,"Zambia","ZM-09","Lusaka","","Bell-Cross",-15.430678,28.42902,"","","Unspecified","false","false",NA,NA,"","","",NA,"S295440812",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
649211482,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Yash Gharat","2026-01-19",2026,1,19,1723,"Malawi","MW-S","Southern","","Mpalanganga Estate",-15.4576331,35.2573513,"","","Unspecified","false","false",NA,NA,"","","",NA,"S295168406",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
649123318,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Alastair Newton","2026-01-18",2026,1,18,936,"Zambia","ZM-07","Southern","","Trevor's Quarry @ Kadiki",-17.817842,25.647638,"","","Unspecified","false","false",NA,NA,"","","",NA,"S294869656",NA,NA,NA,"","A third and fourth bird I think one farther upstream the other 3km from the river","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
649043677,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Alastair Newton","2026-01-17",2026,1,17,1235,"Zambia","ZM-07","Southern","","Kadiki, Livingstone",-17.820808,25.656458,"","","Unspecified","false","false",NA,NA,"","","",NA,"S294628345",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
648996236,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Duwan Botha","2026-01-16",2026,1,16,657,"Zimbabwe","ZW-MV","Masvingo","","Mokore Main Camp",-20.403387,32.11714,"","","Unspecified","false","false",NA,NA,"","","",NA,"S294434078",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
648996235,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Duwan Botha","2026-01-16",2026,1,16,657,"Zimbabwe","ZW-MV","Masvingo","","Mokore Main Camp",-20.403387,32.11714,"","","Unspecified","false","false",NA,NA,"","","",NA,"S294434078",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,0,0,NA,NA,NA
648819090,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"Kwarija Innocent","2026-01-13",2026,1,13,828,"Uganda","UG-W","Western","","Bigodi Ecotourism Research Centre",0.4005148,30.4133461,"","Song","Not Used","","",NA,NA,"H1 XLR ZOOM","SYNCO MIC-D1","",NA,"S294013545",NA,NA,NA,"","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,5,1,NA,NA,NA
648803389,"Audio","African Emerald Cuckoo","Chrysococcyx cupreus","",NA,"David Moyer","2026-01-13",2026,1,13,815,"Tanzania","TZ-04-IR","Iringa","Iringa Rural","Kigwambimbi",-7.805784,35.803615,"Adult – 1","Song","Not Used","","",NA,NA,"Zoom F3","Senheisser ME62","Telinga parabola",NA,"S293968705",NA,NA,NA,"One bird sitting in the top of an Albizia tree.","","Chrysococcyx cupreus","afecuc1","Species",3307,NA,4.33,3,NA,NA,NA
