ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
658723293,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Rod Cassidy,5/30/2026,2026,5,30,606,Central African Republic,CF-SE,Sangha-Mbaéré,,Sangha Lodge,2.985031,16.2335041,,,Unspecified,FALSE,FALSE,,,,,,,S349579349,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
658188892,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Bycanistes subcylindricus -- Black-and-white-casqued Hornbill; Oriolus brachyrynchus -- Western Black-headed Oriole,,Jonathan Onongo,5/23/2026,2026,5,23,911,Uganda,UG-W,Western,,Budongo Central Forest Reserve—Waibira,1.788381,31.654067,,Song,Not Used,,,,,Zoom F3,Syncho Mic - D1,BOYA BY-WS1000 Blimp,,S344539443,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,4,1,,,
658044811,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Jenny Sharland,5/14/2022,2022,5,14,756,South Africa,ZA-NL,Kwazulu-Natal,,Eshowe--Dlinza Forest,-28.8947327,31.4483643,Adult Male – 1,Song,Not Used,,,,,Zoom H5,Sennheiser MK600,,,S110044218,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,5,1,,,
657442366,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Davis M Barya,5/11/2026,2026,5,11,736,Uganda,UG-W,Western,,Budongo Forest Reserve--Sonso,1.7238931,31.5456426,,,Unspecified,FALSE,FALSE,,,,,,,S337188472,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
656353548,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Hedydipna collaris -- Collared Sunbird; Bycanistes bucinator -- Trumpeter Hornbill,,Bruno Assey,4/29/2026,2026,4,29,807,Tanzania,TZ-27-GE,Geita,Geita,Rubondo Island NP--Headquarters,-2.2922371,31.8499875,Unknown – 1,Song,Not Used,,,,,iPhone 11,,,,S329315427,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
656335711,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Judith Mirembe,5/2/2026,2026,5,2,828,Uganda,UG-C,Central,,Entebbe Botanical Garden,0.0617981,32.4779892,,,Unspecified,FALSE,FALSE,,,,,,,S330901190,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
656036632,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,James Christian,12/21/2023,2023,12,21,1708,Kenya,KE-200,Central,,Mau Mau Caves Route,-0.116169,37.065974,,,Unspecified,FALSE,FALSE,,,,,,,S156855332,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
655684295,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Jonathan Onongo,4/22/2026,2026,4,22,1751,Uganda,UG-W,Western,,"Alimugonza, Buruli UG-Western 1.88719, 31.76856",1.887193,31.768559,,Song,Not Used,,,,,Tascam DR 70D,Syncho D1,,,S325526265,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,3,1,,,
655387375,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Pogoniulus bilineatus -- Yellow-rumped Tinkerbird,,Judith Mirembe,1/4/2026,2026,1,4,754,Uganda,UG-W,Western,,Bwindi-Impenetrable NP--Mubwindi Swamp,-1.0812369,29.7578691,,,Not Used,,,,,Zoom H1 XLR,Syno Mic-D1,,,S294013963,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,4,1,,,
654168131,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Duwan Botha,2/18/2026,2026,2,18,738,Zimbabwe,ZW-MV,Masvingo,,Mokore Main Camp,-20.403387,32.11714,,,Unspecified,FALSE,FALSE,,,,,,,S301899266,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
654028992,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Reuben Shallom,4/1/2026,2026,4,1,1020,Tanzania,TZ-24-UY,Tabora,Uyui,Road to Nyahua Camp Yapi Merkezi,-5.240912,33.342192,Adult Male – 1,Song,Not Used,,,,,ZOOM H1 XLR Handy Recorder,RØDE NTG4+,,,S315609805,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,4,1,,,
652435586,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Zosterops virens -- Cape White-eye,,Roger McNeill,5/13/2021,2021,5,13,708,South Africa,ZA-LP,Limpopo,,Woodbush Forest,-23.8386442,29.9861011,Adult – 1,Song,Not Used,,,,,MARANTZ PMD 660,Sennheiser ME 67,,,S88258145,,,,"File (14938) trimmed, then a high pass filters of 250, then normalised to -3db, then merged as (14938)e.   ","Heard and tracked down for excellent views and logging truck ""enhanced"" recordings",Chrysococcyx cupreus,afecuc1,Species,3307,,4,1,,,
652297255,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Munene Kermer,3/6/2026,2026,3,6,604,Zambia,ZM-07,Southern,,Clipper Line Fish Farm (private site with restricted access),-17.8315732,25.6282834,,,Unspecified,FALSE,FALSE,,,,,,,S306332527,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,3,1,,,
652155422,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Matt Brady,1/10/2024,2024,1,10,1605,DR Congo,CD-SK,Sud-Kivu,,Itombwe NR--Mwana,-3.149229,28.469927,Adult Male – 1,Song,Not Used,,,,,iPhone 15 Pro,internal,Merlin App,,S158957816,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,2,1,,,
652117236,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Daniel S.,9/4/2011,2011,9,4,630,Uganda,UG-W,Western,,Road to Nkuringo,-1.0900032,29.635797,Adult – 1,Song,Not Used,,,,,Pentax Optio,,,,S218922625,,,,Identified post hoc. ID confident. No playback. Bird not seen. Heard well. High pass filter 250/12 dB. Normalized -10.0 dB. Audio pulled from a video. Added 03 Mar 2026.,Heard,Chrysococcyx cupreus,afecuc1,Species,3307,,3,1,,,
652071040,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Guida Bell-Cross,1/22/2026,2026,1,22,1652,Zambia,ZM-09,Lusaka,,Bell-Cross,-15.430678,28.42902,,,Unspecified,FALSE,FALSE,,,,,,,S295737361,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
652023331,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Nectariniidae sp. (sunbird sp.) -- sunbird sp.; Eurillas virens -- Little Greenbul; Chrysococcyx cupreus -- African Emerald Cuckoo; Columba unicincta -- Afep Pigeon; Columba albinucha -- White-naped Pigeon,,Matt Brady,1/11/2024,2024,1,11,605,DR Congo,CD-SK,Sud-Kivu,,Itombwe NR--Mwana,-3.149229,28.469927,Adult Male – 1,Song,Not Used,,,,,Sound Devices MixPre-3 II,Sennheiser ME 67,,,S158913460,,,,Cut from the background of the White-naped Pigeon song. Singing in the canopy of disturbed transitional foothill/montane forest at 1670m.,,Chrysococcyx cupreus,afecuc1,Species,3307,,3,1,,,
651804159,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Nyreen Roberts,1/28/2026,2026,1,28,958,Zambia,ZM-09,Lusaka,,"Poi poi pet -15.59021, 28.11540",-15.590208,28.115404,,,Unspecified,FALSE,FALSE,,,,,,,S296655020,,,,,Singing.  I have 3 recordings as well as this video clip.  Just need to learn audacity and find some time to do that.  I had parked to take the recordings and as its one way on the mud road at the minute I blocked the way so when another vehicle turned up at the other end my recording was really noisy.  Need to chop that bit off.  This was almost same spot as the other day when I also recorded the cuckoo.,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
651633939,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Nyreen Roberts,2/11/2026,2026,2,11,911,Zambia,ZM-05,Northern,,"Lupunga plain -13.07964, 31.73603",-13.079637,31.736034,,,Unspecified,FALSE,FALSE,,,,,,,S300797512,,,,,Recorded,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
651406156,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Munene Kermer,2/21/2026,2026,2,21,840,Zambia,ZM-07,Southern,,Clipper Line Fish Farm (private site with restricted access),-17.8315732,25.6282834,,,Unspecified,FALSE,FALSE,,,,,,,S302767685,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
651357389,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Dicrurus modestus -- Velvet-mantled Drongo,,Femi Faminu,2/18/2026,2026,2,18,622,Ghana,GH-CP,Central,,Kakum National Park,5.3500604,-1.3819599,,,Unspecified,FALSE,FALSE,,,,,,,S301904922,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
651284707,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,Pycnonotidae sp. (greenbul sp.) -- greenbul sp.,,Matt Brady,12/20/2023,2023,12,20,630,DR Congo,CD-SK,Sud-Kivu,,Itombwe NR--Buzinda camp,-3.089902,28.499142,Adult Male – 1,Song,Not Used,,,,,Sound Devices MixPre-3 II,Sennheiser ME 67,,,S158947729,,,,Recorded in steep transitional foothill forest at 1650m. ,,Chrysococcyx cupreus,afecuc1,Species,3307,,3,1,,,
649957977,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,David Weber,1/23/2026,2026,1,23,631,Tanzania,TZ-01-AU,Arusha,Arusha Urban,Tumbili Lodge,-3.393314,36.629078,Unknown – 1,Song,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" parabola",,S295743114,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,2,1,,,
649948120,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,,Yash Gharat,1/31/2026,2026,1,31,600,Malawi,MW-S,Southern,,Mpalanganga Estate,-15.4576331,35.2573513,,,Unspecified,FALSE,FALSE,,,,,,,S297132363,,,,,,Chrysococcyx cupreus,afecuc1,Species,3307,,0,0,,,
