X,Recording_ID,Dan,Shelby,Source
1,780410,1,1,XC
2,780189,2,3,XC
3,780188,2,3,XC
4,739529,1,2,XC
5,726829,3,3,XC
6,718994,4,2,XC
7,718993,1,1,XC
8,615910,1,1,XC
9,615909,1,1,XC
10,608584,3,4,XC
11,522379,1,2,XC
12,486574,1,2,XC
13,399979,1,1,XC
14,399950,1,1,XC
15,351743,1,2,XC
16,337884,1,1,XC
17,336131,3,2,XC
18,336129,3,2,XC
19,300105,1,3,XC
20,300104,3,3,XC
21,237571,2,3,XC
22,811150,3,3,XC
28,779358,1,2,XC
29,762107,3,4,XC
31,718997,2,2,XC
32,718996,3,3,XC
33,718995,3,4,XC
35,706519,3,3,XC
36,700647,1,2,XC
38,690366,3,4,XC
40,679785,3,4,XC
41,621765,3,4,XC
42,621416,3,4,XC
47,524395,2,3,XC
48,524394,2,3,XC
50,514216,4,3,XC
55,422280,1,3,XC
56,401269,1,2,XC
57,397912,4,3,XC
60,389041,2,3,XC
64,337885,3,3,XC
65,334108,3,2,XC
69,289343,2,2,XC
70,288123,3,3,XC
71,283230,1,2,XC
72,280039,3,3,XC
73,266329,1,2,XC
76,264908,2,3,XC
77,237570,3,4,XC
79,233905,3,2,XC
80,233904,2,2,XC
81,200575,3,3,XC
84,164104,2,2,XC
85,138030,3,4,XC
87,125134,2,2,XC
88,125133,3,2,XC
90,115262,3,3,XC
97,48244,3,2,XC
98,43706,2,3,XC
103,508800,3,4,XC
107,404370,2,3,XC
114,289342,2,2,XC
126,95664,2,3,XC
130,350089,2,1,XC
135,589324831,3,3,Macaulay
138,582801601,5,3,Macaulay
142,570673831,3,2,Macaulay
143,567357981,5,2,Macaulay
147,527839271,3,4,Macaulay
149,521622441,3,4,Macaulay
151,512844891,3,3,Macaulay
152,511255421,3,2,Macaulay
153,511198111,3,2,Macaulay
154,511054001,1,1,Macaulay
155,511054011,1,1,Macaulay
156,509934691,2,2,Macaulay
159,486770851,3,3,Macaulay
161,467477231,2,2,Macaulay
162,437372801,1,1,Macaulay
163,437048191,2,1,Macaulay
164,437044471,2,2,Macaulay
165,437044401,3,3,Macaulay
166,434335111,4,3,Macaulay
171,391285271,4,3,Macaulay
172,390677901,5,3,Macaulay
175,282547731,3,3,Macaulay
179,278801,3,2,Macaulay
180,276509,3,2,Macaulay
181,276508,2,2,Macaulay
182,275876,4,3,Macaulay
183,214385941,2,2,Macaulay
184,203945201,3,3,Macaulay
187,203920961,3,3,Macaulay
188,203917681,3,3,Macaulay
190,181392571,3,3,Macaulay
193,144126231,3,3,Macaulay
198,236965,3,3,Macaulay
200,122295451,3,1,Macaulay
201,83863761,2,2,Macaulay
203,524089,2,2,Macaulay
204,524069,1,1,Macaulay
205,212429,3,3,Macaulay
209,147035,2,2,Macaulay
210,147008,3,2,Macaulay
211,146973,4,3,Macaulay
212,146943,3,4,Macaulay
214,94656,1,2,Macaulay
215,87341,3,3,Macaulay
216,83213,2,2,Macaulay
218,58625,3,3,Macaulay
221,51431,1,1,Macaulay
222,26082,2,2,Macaulay
224,23179,1,2,Macaulay
225,23167,1,1,Macaulay
226,17983,2,2,Macaulay
228,8598,1,2,Macaulay
229,8597,2,2,Macaulay
230,8596,1,1,Macaulay
231,8595,3,3,Macaulay
232,1065,1,1,Macaulay
235,24116811,3,2,Macaulay
